state,hour_utc,weekday,spread_bucket,n,best_pf,sl_mult,tp_mult,step_pips,lock_pips,max_hold_sec,n_trades,pf_h180,pf_h300,pf_h600,pf_h900,tr_h180,tr_h300,tr_h600,tr_h900,error
SQUEEZE,6,0,mid,254,3.319670171725247,3.0,1.0,0.4,0.5,900,85,3.319670171725247,3.319670171725247,3.319670171725247,3.319670171725247,85,85,85,85,
NEUTRAL,6,4,xhigh,262,2.646757589367861,3.0,1.0,0.4,0.5,900,87,2.646757589367861,2.646757589367861,2.646757589367861,2.646757589367861,87,87,87,87,
BREAKOUT,5,0,xhigh,350,2.521810543978541,3.0,1.0,0.4,0.5,900,117,2.521810543978541,2.521810543978541,2.521810543978541,2.521810543978541,117,117,117,117,
SQUEEZE,14,1,low,222,2.4328957710027748,3.0,1.0,0.4,0.5,900,74,2.4328957710027748,2.4328957710027748,2.4328957710027748,2.4328957710027748,74,74,74,74,
BREAKOUT,5,2,xhigh,309,2.233237510641254,3.0,1.0,0.4,0.5,900,103,2.233237510641254,2.233237510641254,2.233237510641254,2.233237510641254,103,103,103,103,
TRENDBURST,2,1,xhigh,234,2.200871257170538,3.0,1.0,0.4,0.5,900,78,2.200871257170538,2.200871257170538,2.200871257170538,2.200871257170538,78,78,78,78,
SQUEEZE,2,2,high,285,2.1641829363249574,3.0,1.0,0.4,0.5,900,95,2.1641829363249574,2.1641829363249574,2.1641829363249574,2.1641829363249574,95,95,95,95,
TRENDBURST,0,1,mid,1198,2.075049999900176,3.0,1.0,0.4,0.5,900,399,2.075049999900176,2.075049999900176,2.075049999900176,2.075049999900176,399,399,399,399,
TRENDBURST,2,0,xhigh,241,1.9767652242531804,3.0,1.0,0.4,0.5,900,80,1.9767652242531804,1.9767652242531804,1.9767652242531804,1.9767652242531804,80,80,80,80,
BREAKOUT,4,3,xhigh,453,1.9232833866508496,3.0,1.0,0.4,0.5,900,151,1.9232833866508496,1.9232833866508496,1.9232833866508496,1.9232833866508496,151,151,151,151,
BREAKOUT,19,1,xhigh,236,1.9194769636211944,3.0,1.0,0.4,0.5,900,79,1.9194769636211944,1.9194769636211944,1.9194769636211944,1.9194769636211944,79,79,79,79,
SQUEEZE,2,4,mid,462,1.8770930447083205,3.0,1.0,0.4,0.5,900,154,1.8770930447083205,1.8770930447083205,1.8770930447083205,1.8770930447083205,154,154,154,154,
SQUEEZE,3,0,mid,574,1.8477248858336983,3.0,1.0,0.4,0.5,900,191,1.8477248858336983,1.8477248858336983,1.8477248858336983,1.8477248858336983,191,191,191,191,
TRENDBURST,1,1,xhigh,249,1.8332154702705852,3.0,1.0,0.4,0.5,900,83,1.8332154702705852,1.8332154702705852,1.8332154702705852,1.8332154702705852,83,83,83,83,
NEUTRAL,18,2,xhigh,442,1.8172376929362613,3.0,1.0,0.4,0.5,900,147,1.8172376929362613,1.8172376929362613,1.8172376929362613,1.8172376929362613,147,147,147,147,
BREAKOUT,10,1,high,6537,1.812960146016792,3.0,1.0,0.4,0.5,900,2179,1.812960146016792,1.812960146016792,1.812960146016792,1.812960146016792,2179,2179,2179,2179,
